empresa;domain;cidade;site;snov_company_name;industry;size;prospects_count;emails_count;generic_contacts_count;status;notes
Inplasf Indústria de Plásticos;inplasfindustria.com.br;Feira de Santana;http://www.inplasfindustria.com.br/;;;;;;;completed;
Plastix Indústria e Comércio de Plásticos;plastix.com.br;Feira de Santana;http://www.plastix.com.br/;Plastix Indústria e Comércio de Plásticos;Plastics;;1;0;0;completed;
Gênesis-Indústria de Plásticos Reforçados;multcaixa.com.br;Feira de Santana;http://www.multcaixa.com.br/;Multcaixa;Plastics;;5;1;0;completed;
Allplastik Embalagens Plásticas;allplastikindustria.com.br;Feira de Santana;https://allplastikindustria.com.br/;Allplastik;;;0;0;0;completed;
BAVECOM - Bahia Distribuidora de Vedações e Componentes;bahiadistribuidora.com.br;Feira de Santana;https://www.bahiadistribuidora.com.br/contato;Jose Geraldo Lopes Siqueira Me;;;0;3;2;completed;
Barella Plast;barellaplast.com.br;Feira de Santana;http://barellaplast.com.br/;;;;;;;completed;
CBA Distribuidora de Bebidas;cbabebidas.com.br;Campinas;https://cbabebidas.com.br/;CBA Bebidas;Wine & Spirits;;0;0;0;completed;
Distribuidora Irmãos Delova;distribuidorairmaosdelova.com.br;Campinas;https://distribuidorairmaosdelova.com.br/;Distribuidora Irmãos Delova;Food & Beverages;;1;0;0;completed;
Estrela Distribuidora de Alimentos;estrelacampinas.com.br;Campinas;http://www.estrelacampinas.com.br/;Estrela Distribuidora de Alimentos;Restaurants;;1;0;0;completed;
Fator Distribuidora de Auto Peças;fatordistribuidora.com.br;Campinas;http://www.fatordistribuidora.com.br/;Fator Distribuidora de Auto Peças;Wholesale;201-500;42;14;2;completed;
Gimenes Distribuidora de Auto Peças;gimenesautopecas.com.br;Campinas;https://www.gimenesautopecas.com.br/;Gimenes Auto Peças;Automotive;;0;0;0;completed;
J C A DISTRIBUIDORA DE ALIMENTOS;jcafoods.com.br;Campinas;http://jcafoods.com.br/;F & F Design Representacao Comercial E Publicidade;Marketing & Advertising;1-10;0;7;0;completed;
MULTCAIXA;multcaixa.com.br;Feira de Santana;http://www.multcaixa.com.br/;Multcaixa;Plastics;;5;1;0;completed;
Pingo Distribuidora;pingodistribuidora.com.br;Feira de Santana;http://www.pingodistribuidora.com.br/;Pingo Distribuidora;Food & Beverages;51-200;8;2;1;completed;
RIBERBÃO ATACADO;riberbaoatacado.com.br;Ribeirão Preto;http://www.riberbaoatacado.com.br/;Riberbao Atacado De Materiais Para Construcao;Building Materials;;4;1;0;completed;
Roles Autopeças;roles.com.br;Campinas;http://roles.com.br/;Roles Autopeças;Automotive;201-500;97;147;2;completed;
Sama Autopeças;samaautopecas.com.br;Campinas;https://samaautopecas.com.br/;Sama Autopeças;Wholesale;1001-5000;209;25;0;completed;
Sul Mantiqueira Distribuidora;sulmantiqueira.com;Campinas;http://sulmantiqueira.com/;Sul Mantiqueira;Wine & Spirits;;3;1;0;completed;
Tesba Logística- Filial Simões Filho;tesba.com.br;Simões Filho;http://www.tesba.com.br/;Tesba Logística;Transportation/Trucking/Railroad;51-200;15;9;0;completed;
Tico & Teco Distribuidora de Bebidas;distribuidoraticoeteco.com.br;Campinas;https://distribuidoraticoeteco.com.br/;Tico E Teco Distribuidora De Bebidas;Food & Beverages;;5;1;0;completed;
